overall,problema,status,area,equipo,componente,lubricante,muestra,fecha_muestra,fecha_completado,edad_fluido,edad_maquina,uom,mant_fluido,recomendacion,desgaste,contaminacion,condicion_aceite,planta_cod,equipo_tag,componente_es
ABNORMAL,Degradation,COMPLETED,COMPRESIÓN,PUE - TC #3,Turbine,YPF TURBINA EP 46,LL2-0005168,2026-04-28,2026-05-13,26842.0,180801.0,hrs,Not Changd,Ver informe de resultados,,,,PUE,TC #3,Turbina
ABNORMAL,Degradation,COMPLETED,COMPRESIÓN,PUE - TC #1,Turbine,YPF TURBINA EP 46,LL2-0005169,2026-04-29,2026-05-13,114030.0,114030.0,hrs,Not Changd,Ver informe de resultados,,,,PUE,TC #1,Turbina
ABNORMAL,Degradation,COMPLETED,COMPRESIÓN,LMR - TC #3,Turbine,YPF TURBINA EP 46,LL2-0005167,2026-03-19,2026-05-13,37518.0,225638.0,hrs,Not Changd,Ver informe de resultados,,,,LMR,TC #3,Turbina
ABNORMAL,Normal,COMPLETED,GENERACIÓN,COC - TG #1,Turbine,YPF TURBINA EP 46,LL2-0005170,2026-04-28,2026-05-13,180313.0,180313.0,hrs,Not Changd,Ver informe de resultados,,,,COC,TG #1,Turbina
ABNORMAL,Normal,COMPLETED,GENERACIÓN,LCA - TG #1,Turbine,YPF TURBINA EP 46,LL2-0005483,2026-04-20,2026-05-13,23384.0,204135.0,hrs,Not Changd,Ver informe de resultados,,,,LCA,TG #1,Turbina
ABNORMAL,Insolubles,COMPLETED,COMPRESIÓN,LCA - TC #3,Turbine,YPF TURBINA EP 46,LL2-0005550,2026-05-14,2026-06-05,19487.0,187316.0,hrs,Not Changd,Ver informe de resultados,,,,LCA,TC #3,Turbina
ABNORMAL,Normal,COMPLETED,GENERACIÓN,LCA - TG #2,Turbine,YPF TURBINA EP 46,LL2-0005491,2026-05-14,2026-06-02,37956.0,189660.0,hrs,Not Changd,Ver informe de resultados,,,,LCA,TG #2,Turbina
ABNORMAL,Normal,COMPLETED,COMPRESIÓN,LCA - TC #2,Turbine,YPF TURBINA EP 46,LL2-0005490,2026-05-14,2026-06-02,190343.0,190343.0,hrs,Not Changd,Ver informe de resultados,,,,LCA,TC #2,Turbina
ABNORMAL,ISO,COMPLETED,COMPRESIÓN,RLB - MC #2,Reciprocating Compressor,YPF VECTIS G740,LL2-0005418,2026-01-15,2026-06-04,4000.0,,hrs,Changed,Le recomendamos que purifique el aceite y realice el mantenimiento de los filtros de este componente. Se recomienda continuar el monitoreo de la condición del equipo conforme el plan de muestreo.,Todas las tasas de desgaste de los componentes son normales. Se detecta mínimo desgaste ferroso y no ferroso. Se observa bajo contenido de hierro y aluminio diluidos en el aceite. El PQI (densidad ferrosa gruesa) es nulo.,No se observa contaminación con agua. El nivel de limpieza del sistema es regular para el código de limpieza objetivo ISO 4406. El Código AS 4059 de limpieza es regular.,"La viscosidad del lubricante es normal, corresponde a un grado SAE 40. Los aditivos se encuentran presentes.  No se detecta envejecimiento. Los valores de oxidación y de acidez son normales.",RLB,MC #2,Compresor Reciprocante
ABNORMAL,ISO,COMPLETED,COMPRESIÓN,RLB - MC #1,Reciprocating Compressor,YPF VECTIS G740,LL2-0005420,2026-04-06,2026-06-04,4065.0,,hrs,Changed,Le recomendamos que purifique el aceite y realice el mantenimiento de los filtros de este componente. Se recomienda continuar el monitoreo de la condición del equipo conforme el plan de muestreo.,Todas las tasas de desgaste de los componentes son normales. Se detecta mínimo desgaste ferroso y no ferroso. Se observa bajo contenido de hierro y aluminio diluido en el aceite. El PQI (densidad ferrosa gruesa) es nulo.,No se observa contaminación con agua. El nivel de limpieza del sistema es aceptable para el código de limpieza objetivo ISO 4406.  El Código AS 4059 de limpieza es regular.,"La viscosidad del lubricante es normal, corresponde a un grado SAE 40. Los aditivos se encuentran presentes.  No se detecta envejecimiento. Los valores de oxidación y de acidez son normales.",RLB,MC #1,Compresor Reciprocante
MARGINAL,Wear,COMPLETED,GENERACIÓN,LMR - MG #2,Coolant,YPF KRIOX ORGANICO,LL2-0005181,2026-04-24,2026-05-15,48.0,145606.0,hrs,Not Changd,El fluido es adecuado para continuar en servicio. Vuelva a muestrear en el siguiente intervalo de servicio para monitorear.,"Corrosión Ferrosa: Se observa hierro disuelto, ha disminuido significativamente respecto a la muestra anterior. Densidad ferrosa, PQI nulo. Corrosión No Ferrosa: no se observa.","Contaminantes: No se observan precipitados. No se observa contaminación con aceite.
","Calidad del Agua: Conductividad del agua dentro del rango normal. No forma espuma.
Aditivación: pH dentro del rango normal. La aditivación anticorrosiva/pasivadora está presente, nitrito, boro y silicato. Contiene 49% de glicol.
",LMR,MG #2,Refrigerante
